2023-08-01,1363.290
2023-08-02,2596.500
2023-08-03,3572.160
2023-08-04,1889.210
2023-08-05,682.140
2023-08-06,1757.170
2023-08-07,2030.430
2023-08-08,2830.230
2023-08-09,845.770
2023-08-10,3496.440
2023-08-11,3649.010
2023-08-12,2967.770
2023-08-13,3179.720
2023-08-14,3414.040
2023-08-15,1521.920
2023-08-16,1511.120
2023-08-17,3413.260
2023-08-18,3525.140
2023-08-19,3394.840
2023-08-20,3577.620
2023-08-21,3511.590
2023-08-22,2656.190
2023-08-23,3377.280
2023-08-24,3376.590
2023-08-25,2267.050
2023-08-26,2062.610
2023-08-27,600.000
2023-08-28,743.910
2023-08-29,693.810
2023-08-30,2048.360
2023-08-31,2043.190
2023-08-01,1363.290
2023-08-02,2596.500
2023-08-03,3572.160
2023-08-04,1889.210
2023-08-05,682.140
2023-08-06,1757.170
2023-08-07,2030.430
2023-08-08,2830.230
2023-08-09,845.770
2023-08-10,3496.440
2023-08-11,3649.010
2023-08-12,2967.770
2023-08-13,3179.720
2023-08-14,3414.040
2023-08-15,1521.920
2023-08-16,1511.120
2023-08-17,3413.260
2023-08-18,3525.140
2023-08-19,3394.840
2023-08-20,3577.620
2023-08-21,3511.590
2023-08-22,2656.190
2023-08-23,3377.280
2023-08-24,3376.590
2023-08-25,2267.050
2023-08-26,2062.610
2023-08-27,600.000
2023-08-28,743.910
2023-08-29,693.810
2023-08-30,2048.360
2023-08-31,2043.190
